# =-=-=-=-=-=-=-=-=-=-=
# LOG DATA 
# =-=-=-=-=-=-=-=-=-=-=
#
# =-= Roborobo! 
# =-= Official version tag    : 20120605
# =-= Current build name      : Amsterdam build
# =-= Compilation version tag : May 31 2014 - 12:37:17
#
# Loaded time stamp           : 20140531-12h51m21s562496us
#
# random seed             : 1401533481
0 : 1 c 50
0 : 3 c 50
0 : 3 c 50
0 : 3 c 50
0 : 4 c 50
0 : 9 c 50
0 : 9 c 50
0 : 13 c 50
0 : 13 c 50
0 : 15 c 50
0 : 15 c 50
0 : 22 c 50
0 : 23 c 50
0 : 23 c 50
0 : 26 c 50
0 : 26 c 50
0 : 26 c 50
0 : 27 c 50
0 : 29 c 50
0 : 29 c 50
0 : 29 c 50
0 : 32 c 50
0 : 35 c 50
0 : 36 c 50
0 : 36 c 50
0 : 39 c 50
0 : 39 c 50
0 : 42 c 50
0 : 42 c 50
0 : 44 c 50
0 : 44 c 50
0 : 45 c 50
0 : 46 c 50
0 : 46 c 50
0 : 47 c 50
0 : 49 c 50
0 : 49 c 50
0 : 50 c 50
0 : 54 c 50
0 : 60 c 50
0 : 60 c 50
0 : 60 c 50
0 : 65 c 50
0 : 66 c 50
0 : 72 c 50
0 : 72 c 50
0 : 75 c 50
0 : 82 c 50
0 : 85 c 50
0 : 88 c 50
0 : 93 c 50
0 : 96 c 50
0 : 98 c 50
0 : 99 c 50
0 : Agent Points Created 0
1 : 1 c 0
1 : 3 c 0
1 : 3 c 0
1 : 3 c 0
1 : 4 c 0
1 : 8 c 0
1 : 9 c 0
1 : 9 c 0
1 : 13 c 0
1 : 13 c 0
1 : 15 c 0
1 : 15 c 0
1 : 22 c 0
1 : 23 c 0
1 : 23 c 0
1 : 26 c 0
1 : 26 c 0
1 : 26 c 0
1 : 27 c 0
1 : 29 c 0
1 : 29 c 0
1 : 29 c 0
1 : 32 c 0
1 : 32 c 0
1 : 35 c 0
1 : 36 c 0
1 : 36 c 0
1 : 39 c 0
1 : 39 c 0
1 : 42 c 0
1 : 42 c 0
1 : 42 c 0
1 : 44 c 0
1 : 44 c 0
1 : 45 c 0
1 : 46 c 0
1 : 46 c 0
1 : 47 c 0
1 : 49 c 0
1 : 49 c 0
1 : 50 c 0
1 : 54 c 0
1 : 55 c 0
1 : 60 c 0
1 : 60 c 0
1 : 60 c 0
1 : 65 c 0
1 : 66 c 0
1 : 72 c 0
1 : 72 c 0
1 : 75 c 0
1 : 85 c 0
1 : 88 c 0
1 : 93 c 0
1 : 96 c 0
1 : 98 c 0
1 : Agent Points Created 0
2 : 24 c 0
2 : 43 c 0
2 : 52 c 0
2 : 70 c 0
2 : 74 c 0
2 : Agent Points Created 0
3 : 33 c 0
3 : 64 c 0
3 : 86 c 0
3 : Agent Points Created 0
4 : 12 c 0
4 : 33 c 0
4 : 44 c 0
4 : 87 c 0
4 : Agent Points Created 0
5 : 0 c 0
5 : 33 c 0
5 : 53 c 0
5 : 66 c 0
5 : Agent Points Created 0
6 : 60 c 0
6 : 86 c 0
6 : 96 c 0
6 : Agent Points Created 0
7 : 43 c 0
7 : 92 c 0
7 : 95 c 0
7 : 96 c 0
7 : Agent Points Created 0
8 : 44 c 0
8 : 83 c 0
8 : 84 c 0
8 : 85 c 0
8 : Agent Points Created 0
9 : 28 c 0
9 : 80 c 0
9 : 80 c 0
9 : Agent Points Created 0
10 : 49 c 0
10 : Agent Points Created 0
11 : 50 c 0
11 : 75 c 0
11 : Agent Points Created 0
12 : 27 c 0
12 : 29 c 0
12 : 31 c 0
12 : 63 c 0
12 : Agent Points Created 0
13 : 75 c 0
13 : Agent Points Created 0
14 : Agent Points Created 0
15 : 2 c 0
15 : 32 c 0
15 : 70 c 0
15 : 94 c 0
15 : Agent Points Created 0
16 : 28 c 0
16 : 80 c 0
16 : Agent Points Created 0
17 : 29 c 0
